id,primary_topic_openai,primary_subtopic_openai,confidence_openai,secondary_concepts_openai,reasoning_openai,primary_topic_claude,primary_subtopic_claude,confidence_claude,secondary_concepts_claude,reasoning_claude
2529,Social,Household,0.7,[],"Requests contact information for future follow-up, which is administrative household/contact information used to track respondents over time.",Social,Household,0.65,"[{'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]",Question requests contact information (email and phone) for future survey follow-up; primarily administrative but relates to household contact methods.
2510,Social,Disability,0.9,"[{'topic': 'Demographic', 'subtopic': 'Age'}]","The question asks the earliest age of onset for difficulties, which pertains to disability onset; it also references an age measure as a secondary concept.",Social,Disability,0.75,"[{'topic': 'Demographic', 'subtopic': 'Age'}]","Question asks about age of onset for difficulties, likely related to disability or health conditions. Without full context, disability is the most probable interpretation."
2511,Demographic,Population,0.5,"[{'topic': 'Social', 'subtopic': 'Household'}]",Requesting phone and email for future contact is administrative contact information related to the surveyed population and household participation in follow-up.,Social,Household,0.65,[],"This is a contact information collection question for survey administration purposes, not a substantive data collection question. Classified as household/administrative."
2512,Social,Computer & Internet Use,0.6,[],"Asking how respondents would like to complete future surveys likely captures mode preference (e.g., online vs. phone/mail), which relates to internet/computer use for participation.",Social,Household,0.6,[],"This is a survey methodology/administration question about respondent preferences for survey completion mode, not substantive data collection."
2514,Economic,Employer,0.8,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}, {'topic': 'Economic', 'subtopic': 'Occupation'}]","The question asks about formal training received as part of a work experience program, which relates to employer-provided training and employment/occupation context.",Economic,Occupation,0.8,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}, {'topic': 'Social', 'subtopic': 'Education'}]","Question addresses formal training and mentorship in work experience, relating to occupational development and workforce training."
2515,Demographic,Sex,1.0,[],A direct question asking whether the respondent is male or female corresponds to the demographic Sex subtopic.,Demographic,Sex,0.99,[],"Direct question about biological sex/gender classification, a core demographic variable."
2516,Demographic,Age,1.0,[],Asking for birthdate directly captures the respondent's age or date-of-birth information.,Demographic,Age,0.99,[],"Birthdate question is used to determine age, a fundamental demographic characteristic."
2517,Demographic,Hispanic Origin,1.0,"[{'topic': 'Demographic', 'subtopic': 'Ethnicity'}]","The question directly asks about Hispanic/Latino/Spanish origin, which maps to Hispanic Origin and more broadly to ethnicity.",Demographic,Hispanic Origin,0.99,[],"Direct question about Hispanic, Latino, or Spanish origin, a standard Census demographic classification."
2518,Demographic,Race,1.0,"[{'topic': 'Demographic', 'subtopic': 'Ethnicity'}]",A direct question about race maps to the Race subtopic; race is closely related to ethnicity as a secondary concept.,Demographic,Race,0.99,[],"Direct question about racial classification, a core demographic variable in Census taxonomy."
2519,Demographic,Marital Status,1.0,"[{'topic': 'Social', 'subtopic': 'Marital Status'}]",Asking current marital status directly corresponds to the Marital Status subtopic (also cross-listed under Social).,Demographic,Marital Status,0.99,[],"Direct question about current marital status, a standard demographic characteristic."
2530,Social,Household,0.9,"[{'topic': 'Housing', 'subtopic': 'Occupancy'}]","Asks whether listed persons still live here, which directly concerns household composition; it also relates to occupancy status for the housing unit.",Social,Household,0.92,"[{'topic': 'Social', 'subtopic': 'Moving'}, {'topic': 'Demographic', 'subtopic': 'Population'}]","Question asks about current household composition and whether all members still reside at the location, which is fundamental to household roster maintenance."
2531,Social,Household,0.9,"[{'topic': 'Social', 'subtopic': 'Moving'}, {'topic': 'Housing', 'subtopic': 'Occupancy'}]","Requests reasons for changes in household membership (deceased, moved out, usual residence changes), so it pertains to household composition and moving/occupancy status.",Social,Household,0.9,"[{'topic': 'Social', 'subtopic': 'Moving'}, {'topic': 'Social', 'subtopic': 'Mortality'}, {'topic': 'Demographic', 'subtopic': 'Population'}]","Question captures reasons for changes in household membership including moves, deaths, and residency status changes, which are core household tracking variables."
2532,Social,Household,0.95,"[{'topic': 'Housing', 'subtopic': 'Occupancy'}]","Asks who else is living or staying here now, which is directly about household membership and the unit's occupancy.",Social,Household,0.95,"[{'topic': 'Demographic', 'subtopic': 'Relationship'}, {'topic': 'Demographic', 'subtopic': 'Population'}]",Question directly asks about household composition by identifying all persons currently living or staying at the residence.
2533,Demographic,Population,0.85,"[{'topic': 'Social', 'subtopic': 'Moving'}, {'topic': 'Housing', 'subtopic': 'Occupancy'}]","Inquires whether this is the respondent's usual place of residence, a core population residency concept tied to moving and occupancy status.",Social,Household,0.88,"[{'topic': 'Social', 'subtopic': 'Moving'}, {'topic': 'Demographic', 'subtopic': 'Population'}]","Question determines whether the residence is the person's usual place of residence, which is essential for establishing household membership and residency status."
2534,Demographic,Population,0.85,"[{'topic': 'Social', 'subtopic': 'Moving'}, {'topic': 'Housing', 'subtopic': 'Occupancy'}]","Asks if the person has a usual place of residence elsewhere, a population/usual-residence question related to moving and occupancy.",Social,Household,0.87,"[{'topic': 'Social', 'subtopic': 'Moving'}, {'topic': 'Demographic', 'subtopic': 'Population'}]","Question identifies persons with multiple residences, which affects household membership classification and residency determination."
2535,Demographic,Sex,0.99,[],"Direct question about the person's sex, which is the Demographic 'Sex' variable.",Demographic,Sex,0.99,[],"Question directly asks for sex/gender of the respondent, a core demographic characteristic."
2536,Demographic,Relationship,0.95,"[{'topic': 'Social', 'subtopic': 'Household'}]","Asks how the person is related to the respondent, which is the household relationship classification and pertains to household composition.",Demographic,Relationship,0.99,"[{'topic': 'Social', 'subtopic': 'Household'}]","Question asks for the relationship between household members, which is a fundamental demographic variable for household structure."
2537,Demographic,Age,0.99,[],"Collects date of birth (day and year), which is used to derive the respondent's age, a core demographic variable.",Demographic,Age,0.99,[],"Question asks for date of birth, which is used to calculate age, a core demographic characteristic."
2538,Social,Children,0.9,"[{'topic': 'Social', 'subtopic': 'Household'}]","Asks about children under 18 who do not live with the respondent, directly addressing the presence and status of children relative to the household.",Social,Children,0.93,"[{'topic': 'Social', 'subtopic': 'Household'}, {'topic': 'Demographic', 'subtopic': 'Relationship'}]","Question asks about children under 18 not in the household, which relates to family structure and household composition."
2539,Economic,Business,0.9,"[{'topic': 'Social', 'subtopic': 'Household'}]","Asks whether anyone in the household has a business or farm, which pertains to business ownership and household economic activities.",Economic,Business,0.94,"[{'topic': 'Economic', 'subtopic': 'Self-employed'}, {'topic': 'Social', 'subtopic': 'Household'}]","Question asks whether household members own or operate a business or farm, which is an economic characteristic related to self-employment and business ownership."
2560,Economic,"Hours/Week, Weeks/Year",0.95,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Asks for usual weekly hours worked at other jobs, which directly maps to hours-per-week employment measures; employment status is also relevant.",Economic,"Hours/Week, Weeks/Year",0.98,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Question directly asks about usual weekly hours worked at additional jobs, which is a core measure of work time allocation."
2561,Economic,"Hours/Week, Weeks/Year",0.95,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Asks whether the respondent usually works 35+ hours (a full-time threshold), clearly an hours-per-week employment measure and indicative of employment status.",Economic,"Hours/Week, Weeks/Year",0.98,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Question asks about usual weekly work hours threshold (35+ hours), which is a standard employment classification measure."
2562,Economic,Employment Status,0.9,"[{'topic': 'Economic', 'subtopic': 'Labor Force'}]","Asks if spouse did any work for pay in the last seven days, directly assessing recent employment status and labor force participation.",Economic,Employment Status,0.95,"[{'topic': 'Economic', 'subtopic': 'Income'}, {'topic': 'Demographic', 'subtopic': 'Relationship'}]","Question asks whether spouse engaged in paid work in the last week, which determines employment status and income-generating activity."
2563,Economic,Employment Status,0.95,"[{'topic': 'Economic', 'subtopic': 'Hours/Week, Weeks/Year'}]","Determines whether spouse had a job (full- or part-time) in the last seven days, capturing employment status and implicitly part-/full-time (hours) classification.",Economic,Employment Status,0.96,"[{'topic': 'Economic', 'subtopic': 'Business'}, {'topic': 'Demographic', 'subtopic': 'Relationship'}]","Question asks about spouse's job status (full or part-time) in the last week, including business work, which determines employment classification."
2564,Economic,"Hours/Week, Weeks/Year",0.95,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Asks how many hours per week the spouse usually works, a direct hours-per-week employment measure; employment status is also pertinent.",Economic,"Hours/Week, Weeks/Year",0.98,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}, {'topic': 'Demographic', 'subtopic': 'Relationship'}]","Question asks about spouse's usual weekly work hours, a direct measure of work time allocation."
2565,Economic,"Hours/Week, Weeks/Year",0.95,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Asks whether the spouse usually works 35+ hours, which is an hours-per-week threshold used to classify full- vs. part-time employment.",Economic,"Hours/Week, Weeks/Year",0.97,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}, {'topic': 'Demographic', 'subtopic': 'Relationship'}]","Question asks whether spouse usually works 35+ hours per week, a standard employment classification threshold."
2566,Social,Household,0.6,[],General time-use question about duration of an activity; within the Census taxonomy this most closely aligns with social/time-use measures often categorized under household activities.,Social,Household,0.75,"[{'topic': 'Economic', 'subtopic': 'Hours/Week, Weeks/Year'}]","Question asks about time spent on activities, which is core to time use surveys and household activity patterns, though the specific activity context is variable."
2567,Demographic,Relationship,0.8,"[{'topic': 'Social', 'subtopic': 'Household'}]","Asks who accompanied the respondent, which pertains to interpersonal/household relationships and the social context of activities.",Social,Household,0.8,"[{'topic': 'Demographic', 'subtopic': 'Relationship'}]","Question asks about who accompanied the respondent during activities, which relates to household composition and social interaction patterns."
2568,Government,Geography,0.75,"[{'topic': 'Social', 'subtopic': 'Household'}]",Asks location where an activity occurred; this is a geographic/contextual question best mapped to the Geography subtopic (with household/social context secondary).,Social,Household,0.72,"[{'topic': 'Housing', 'subtopic': 'Housing'}]","Question asks about location during activities, which provides context for household and residential activity patterns in time use surveys."
2569,Social,Household,0.7,[],"A time-use question about whether eating/drinking occurred as a main activity yesterday, which fits under social/time-use household activities.",Social,Household,0.7,"[{'topic': 'Economic', 'subtopic': 'Hours/Week, Weeks/Year'}]","Question asks about eating/drinking activities as a main activity, which is part of time use survey activity classification and household behavior patterns."
2570,Social,Child Care,0.95,"[{'topic': 'Social', 'subtopic': 'Children'}]","Asks which child woke up first, a question about care/management of children during the day and thus falls under child care; also directly concerns children.",Social,Child Care,0.92,"[{'topic': 'Demographic', 'subtopic': 'Children'}, {'topic': 'Social', 'subtopic': 'Household'}]","Question tracks child care activities and timing, specifically which child woke first, indicating supervision and care patterns."
2571,Social,Child Care,0.95,"[{'topic': 'Social', 'subtopic': 'Children'}]","Asks the time a child got up yesterday, which relates to caregiving/time-use for a child (child care) and concerns an individual child.",Social,Child Care,0.9,"[{'topic': 'Demographic', 'subtopic': 'Children'}, {'topic': 'Social', 'subtopic': 'Household'}]","Question records specific wake-up times for household members, part of time use survey tracking daily activities and child supervision."
2572,Social,Child Care,0.95,"[{'topic': 'Social', 'subtopic': 'Children'}]","Asks which child went to bed last, a caregiving/time-use question about children and bedtime routines (child care).",Social,Child Care,0.92,"[{'topic': 'Demographic', 'subtopic': 'Children'}, {'topic': 'Social', 'subtopic': 'Household'}]","Question identifies which child went to bed last, tracking child care and supervision patterns as part of time use survey."
2573,Social,Child Care,0.95,"[{'topic': 'Social', 'subtopic': 'Children'}]","Asks the time a named child went to bed, a time-use question related to care of a child (child care) and pertains to an individual child.",Social,Child Care,0.9,"[{'topic': 'Demographic', 'subtopic': 'Children'}, {'topic': 'Social', 'subtopic': 'Household'}]","Question records specific bedtime for household members, documenting daily routines and child care supervision timing."
2574,Social,Child Care,0.95,"[{'topic': 'Social', 'subtopic': 'Children'}, {'topic': 'Social', 'subtopic': 'Household'}]","Collects activities during which a child was in the respondent's care, directly addressing child care and involving household/child contexts.",Social,Child Care,0.95,"[{'topic': 'Demographic', 'subtopic': 'Children'}, {'topic': 'Social', 'subtopic': 'Household'}]","Question directly asks about activities during which respondent provided child care, core to time use survey measurement."
2575,Social,Child Care,0.95,"[{'topic': 'Social', 'subtopic': 'Children'}, {'topic': 'Social', 'subtopic': 'Household'}]",Duplicate phrasing asking about activities when a child was in care; pertains to child care and involves children/household context.,Social,Child Care,0.95,"[{'topic': 'Demographic', 'subtopic': 'Children'}, {'topic': 'Social', 'subtopic': 'Household'}]","Question directly asks about activities during which respondent provided child care, core to time use survey measurement."
2576,Social,Child Care,0.95,"[{'topic': 'Social', 'subtopic': 'Children'}, {'topic': 'Demographic', 'subtopic': 'Age'}]","Asks whether nonhousehold children (under 13) were in the respondent's care yesterday, directly about child care and explicitly references child age.",Social,Child Care,0.93,"[{'topic': 'Demographic', 'subtopic': 'Children'}, {'topic': 'Social', 'subtopic': 'Household'}]","Question asks about care provided to non-household children, extending child care measurement beyond primary residence."
2577,Social,Child Care,0.95,"[{'topic': 'Social', 'subtopic': 'Children'}, {'topic': 'Demographic', 'subtopic': 'Age'}]","Asks times/activities when named nonhousehold children (under 13) were in care, a time-use child care question that references child age.",Social,Child Care,0.93,"[{'topic': 'Demographic', 'subtopic': 'Children'}, {'topic': 'Social', 'subtopic': 'Household'}]","Question asks about timing and activities of child care for non-household children, measuring care provision patterns."
2578,Social,Child Care,0.95,"[{'topic': 'Demographic', 'subtopic': 'Age'}, {'topic': 'Social', 'subtopic': 'Children'}]","Asks whether any child 12 or younger was in the respondent's care (excluding paid care), directly addressing child care and specifying age.",Social,Child Care,0.94,"[{'topic': 'Demographic', 'subtopic': 'Children'}, {'topic': 'Social', 'subtopic': 'Household'}]","Question asks about unpaid child care provision for any children under 13, measuring informal child care activities."
2579,Social,Child Care,0.95,"[{'topic': 'Demographic', 'subtopic': 'Age'}, {'topic': 'Social', 'subtopic': 'Children'}]",Fallback question asking if a child 12 or younger was in care yesterday (excluding paid care); focuses on child care and explicitly references age.,Social,Child Care,0.94,"[{'topic': 'Demographic', 'subtopic': 'Children'}, {'topic': 'Social', 'subtopic': 'Household'}]","Question asks about unpaid child care provision for children under 13, measuring informal child care activities for respondents without household children."
2540,Economic,Business,0.9,"[{'topic': 'Economic', 'subtopic': 'Self-employed'}]","Question asks about ownership of a business or farm, which directly pertains to business ownership and self-employment status.",Economic,Business,0.95,"[{'topic': 'Economic', 'subtopic': 'Self-employed'}]","Question directly asks about ownership of a business or farm, which is a core business ownership inquiry."
2541,Economic,Employment Status,0.95,"[{'topic': 'Economic', 'subtopic': 'Earnings'}]","Asks whether the respondent did any paid work in the reference week, which is a direct measure of recent employment status and paid earnings activity.",Economic,Employment Status,0.92,"[{'topic': 'Economic', 'subtopic': 'Labor Force'}, {'topic': 'Economic', 'subtopic': 'Hours/Week, Weeks/Year'}]",Question assesses recent work activity and employment status over a specific time period.
2542,Economic,Self-employed,0.9,"[{'topic': 'Economic', 'subtopic': 'Business'}]","Asks about unpaid work in a family business or farm, which relates to participation in family-owned/self-employed business activity.",Economic,Self-employed,0.9,"[{'topic': 'Economic', 'subtopic': 'Business'}, {'topic': 'Economic', 'subtopic': 'Employment Status'}]","Question asks about unpaid work in family business or farm, which relates to self-employment and family business participation."
2543,Economic,Earnings,0.9,"[{'topic': 'Economic', 'subtopic': 'Business'}, {'topic': 'Economic', 'subtopic': 'Self-employed'}]","Asks whether the respondent receives payments or profits from the business, which is a direct earnings/income question tied to business ownership/self-employment.",Economic,Income,0.88,"[{'topic': 'Economic', 'subtopic': 'Business'}, {'topic': 'Economic', 'subtopic': 'Revenue'}]","Question inquires about payments or profits received from business ownership, directly related to business income."
2544,Economic,Employment Status,0.9,"[{'topic': 'Demographic', 'subtopic': 'Age'}]","Asks whether the respondent remains retired, which pertains to labor force/employment status; retirement is also often age-related.",Economic,Employment Status,0.93,"[{'topic': 'Economic', 'subtopic': 'Tenure'}]","Question asks about retirement status, which is a key employment status classification."
2545,Social,Disability,0.95,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Inquires whether a reported disability continues to prevent work, directly measuring disability and its impact on employment status.",Social,Disability,0.92,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}, {'topic': 'Economic', 'subtopic': 'Business'}]","Question primarily addresses disability and its impact on work capacity, though it has employment implications."
2546,Economic,Employment Status,0.9,"[{'topic': 'Economic', 'subtopic': 'Labor Force'}]","Asks whether the respondent wants a job, a question about desire to work that informs employment status and labor force participation.",Economic,Employment Status,0.94,"[{'topic': 'Economic', 'subtopic': 'Labor Force'}, {'topic': 'Economic', 'subtopic': 'Unemployment'}]","Question assesses job-seeking behavior and desire for employment, which is central to employment status classification."
2547,Social,Disability,0.95,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Asks whether a disability prevents accepting work in the next six months, directly addressing disability and its effect on employment capability.",Social,Disability,0.91,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Question focuses on disability as a barrier to work, with secondary relevance to employment status."
2548,Social,Disability,0.95,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Direct question about having a disability that prevents accepting work, clearly categorized under disability with employment implications.",Social,Disability,0.92,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Question asks about disability status and work capacity, primarily a disability inquiry with employment implications."
2549,Economic,Employment Status,0.95,"[{'topic': 'Economic', 'subtopic': 'Self-employed'}]","Asks whether the respondent had a job in the reference week (including temporary absence), a direct employment status measure; mentions business context so self-employment is relevant.",Economic,Employment Status,0.93,"[{'topic': 'Economic', 'subtopic': 'Labor Force'}, {'topic': 'Economic', 'subtopic': 'Hours/Week, Weeks/Year'}]","Question asks about recent job activity and employment status, including temporary absences from work."
2550,Economic,Employment Status,0.9,"[{'topic': 'Economic', 'subtopic': 'Labor Force'}, {'topic': 'Economic', 'subtopic': 'Unemployment'}]","Asks whether the respondent currently wants a job, which directly relates to employment status and labor force/unemployment classification.",Economic,Employment Status,0.95,"[{'topic': 'Economic', 'subtopic': 'Labor Force'}]","Question directly asks about current job desire, which is a core employment status indicator measuring labor force participation intentions."
2551,Social,Disability,0.9,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Directly asks about a disability preventing work, so the primary concept is disability with implications for employment status.",Social,Disability,0.92,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Question focuses on disability as a barrier to work, with secondary relevance to employment status since it addresses work capacity."
2552,Social,Disability,0.9,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Asks whether the respondent has a disability that prevents work, focusing on disability as the main concept with employment implications.",Social,Disability,0.92,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Question asks about disability status and its impact on work capacity, making disability the primary concept with employment implications."
2553,Economic,Unemployment,0.95,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}, {'topic': 'Economic', 'subtopic': 'Labor Force'}]",Being on layoff relates directly to unemployment status and affects employment/labor force classification.,Economic,Employment Status,0.95,"[{'topic': 'Economic', 'subtopic': 'Unemployment'}]","Question asks about layoff status in the past week, which is a direct measure of employment status and unemployment."
2554,Economic,Employment Status,0.9,"[{'topic': 'Economic', 'subtopic': 'Labor Force'}, {'topic': 'Economic', 'subtopic': 'Unemployment'}]","Same as question 2550: asks if the respondent wants a job, pertinent to employment status and labor force participation.",Economic,Employment Status,0.95,"[{'topic': 'Economic', 'subtopic': 'Labor Force'}]","Question directly asks about current job desire, which is a core employment status indicator measuring labor force participation intentions."
2555,Social,Disability,0.9,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Same as question 2551: asks if a disability prevents accepting work, primarily about disability with employment implications.",Social,Disability,0.92,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Question focuses on disability as a barrier to work, with secondary relevance to employment status since it addresses work capacity."
2556,Social,Disability,0.9,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Same as question 2552: asks whether the respondent has a disabling condition preventing work, focused on disability.",Social,Disability,0.92,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Question asks about disability status and its impact on work capacity, making disability the primary concept with employment implications."
2557,Economic,Employment Status,0.8,"[{'topic': 'Social', 'subtopic': 'Disability'}, {'topic': 'Economic', 'subtopic': 'Unemployment'}]","Asks for the main reason for recent absence from work, which affects employment status and may involve disability or layoff/unemployment reasons.",Economic,Employment Status,0.9,"[{'topic': 'Social', 'subtopic': 'Disability'}, {'topic': 'Economic', 'subtopic': 'Hours/Week, Weeks/Year'}]","Question asks about reasons for work absence, which relates to employment status and work patterns; reasons may include disability or other factors."
2558,Economic,Employment Status,0.9,"[{'topic': 'Economic', 'subtopic': 'Self-employed'}, {'topic': 'Economic', 'subtopic': 'Hours/Week, Weeks/Year'}]","Inquires about holding more than one job or business, relating to employment status and multiple jobholding/self-employment and hours worked.",Economic,Employment Status,0.93,"[{'topic': 'Economic', 'subtopic': 'Self-employed'}, {'topic': 'Economic', 'subtopic': 'Hours/Week, Weeks/Year'}]","Question asks about multiple job holding, which is an employment status characteristic; may include self-employment or part-time work."
2559,Economic,"Hours/Week, Weeks/Year",0.95,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}, {'topic': 'Economic', 'subtopic': 'Earnings'}]","Asks for usual hours worked per week at the main job, directly mapping to hours/week measures and relevant to employment status and potential earnings.",Economic,"Hours/Week, Weeks/Year",0.96,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Question directly asks about usual weekly work hours, which is a standard measure of work intensity and labor force participation."
2590,Social,Household,0.8,"[{'topic': 'Social', 'subtopic': 'Disability'}]","Asks about duration of providing care, which is a household caregiving activity; may relate to caring for someone with a disability.",Social,Child Care,0.85,"[{'topic': 'Social', 'subtopic': 'Household'}, {'topic': 'Demographic', 'subtopic': 'Relationship'}]","Question asks about duration of caregiving provision, which relates to child care or elder care activities. The tenure aspect indicates how long the respondent has been providing care."
2591,Social,Household,0.85,"[{'topic': 'Social', 'subtopic': 'Child Care'}, {'topic': 'Social', 'subtopic': 'Disability'}]","Asks whether care or assistance was provided yesterday, a household caregiving activity that could involve children or persons with disabilities.",Social,Child Care,0.88,"[{'topic': 'Social', 'subtopic': 'Household'}, {'topic': 'Economic', 'subtopic': 'Hours/Week, Weeks/Year'}]","Question directly asks about provision of care or assistance, which is a core child care or caregiving activity measurement in time use surveys."
2592,Social,Household,0.8,"[{'topic': 'Social', 'subtopic': 'Child Care'}]","Asks about timing and activities when care was provided (time-use of household caregiving), often related to child care or other household assistance.",Social,Child Care,0.82,"[{'topic': 'Economic', 'subtopic': 'Hours/Week, Weeks/Year'}, {'topic': 'Social', 'subtopic': 'Household'}]","Question asks about timing and context of caregiving activities, which relates to time allocation for child care or caregiving responsibilities."
2593,Economic,Employment Status,0.95,"[{'topic': 'Economic', 'subtopic': 'Employer'}, {'topic': 'Economic', 'subtopic': 'Unemployment'}]","Asks about a layoff situation and employer return-to-work date, directly bearing on employment status and employer recall/unemployment status.",Economic,Employment Status,0.92,"[{'topic': 'Economic', 'subtopic': 'Employer'}, {'topic': 'Economic', 'subtopic': 'Labor Force'}]","Question addresses layoff status and recall expectations, which directly relates to employment status and labor force participation."
2594,Economic,Unemployment,0.9,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}, {'topic': 'Economic', 'subtopic': 'Employer'}]","Asks whether respondent has indication of recall to work, which relates to unemployment/recall and current employment status with the employer.",Economic,Employment Status,0.93,"[{'topic': 'Economic', 'subtopic': 'Unemployment'}, {'topic': 'Economic', 'subtopic': 'Labor Force'}]","Question asks about recall expectations within a specific timeframe, which is a key indicator of unemployment status and labor force attachment."
2595,Economic,Labor Force,0.9,"[{'topic': 'Economic', 'subtopic': 'Unemployment'}, {'topic': 'Economic', 'subtopic': 'Employment Status'}]","Asks about ability to start work in the last seven days if offered, which determines availability and thus labor force/unemployment classification.",Economic,Employment Status,0.9,"[{'topic': 'Economic', 'subtopic': 'Labor Force'}, {'topic': 'Economic', 'subtopic': 'Unemployment'}]","Question assesses ability and willingness to accept work within a specific timeframe, which measures labor force availability and employment readiness."
2596,Economic,Unemployment,0.9,"[{'topic': 'Economic', 'subtopic': 'Labor Force'}, {'topic': 'Economic', 'subtopic': 'Employment Status'}]","Asks about job search activity despite expectation of recall, directly related to unemployment and labor force participation behavior.",Economic,Unemployment,0.91,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}, {'topic': 'Economic', 'subtopic': 'Labor Force'}]","Question asks about job search activities despite recall expectations, which is a standard unemployment measurement indicator."
2597,Economic,Unemployment,0.95,"[{'topic': 'Economic', 'subtopic': 'Labor Force'}, {'topic': 'Economic', 'subtopic': 'Employment Status'}]","Directly asks about job search activities in the last 4 weeks, a core measure of unemployment and labor force activity.",Economic,Unemployment,0.93,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}, {'topic': 'Economic', 'subtopic': 'Labor Force'}]","Question directly asks about job search activities over a 4-week period, which is the standard definition for measuring unemployment and active job seeking."
2598,Social,Disability,0.95,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Asks whether a disability prevents accepting work in the next six months, primarily a disability question with implications for employment status.",Social,Disability,0.94,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}, {'topic': 'Economic', 'subtopic': 'Labor Force'}]","Question asks whether disability prevents work acceptance, which directly measures disability status and its impact on employment capacity."
2599,Social,Disability,0.95,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}]","Directly asks if respondent has a disability preventing work, classified under disability with relevance to employment capability and status.",Social,Disability,0.95,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}, {'topic': 'Economic', 'subtopic': 'Labor Force'}]","Question directly asks about disability status and its impact on work capacity, which is a core disability measurement in labor force surveys."
2580,Demographic,Relationship,0.98,"[{'topic': 'Social', 'subtopic': 'Household'}]","The question asks whether the child(ren) are related to the respondent, which directly maps to relationship status within demographic characteristics; it also pertains to household composition.",Demographic,Relationship,0.95,"[{'topic': 'Social', 'subtopic': 'Children'}]","Question directly asks about the relationship between the respondent and children in the household, which is a core demographic relationship question."
2581,Social,Household,0.6,"[{'topic': 'Economic', 'subtopic': 'Recreation'}]",Asking about volunteer activities concerns unpaid community/household-related time use; it also relates to recreational or nonmarket activities typically captured under recreational/social participation.,Social,Household,0.85,"[{'topic': 'Government', 'subtopic': 'Public Employment'}]","Question asks about unpaid volunteer activities, which relates to household activities and social engagement rather than economic employment."
2582,Social,Child Care,0.55,"[{'topic': 'Social', 'subtopic': 'Household'}, {'topic': 'Economic', 'subtopic': 'Recreation'}]","The prompt explicitly references volunteering for schools and youth (child care/child-related volunteering), but also covers broader organizational volunteer activities and general household/community participation.",Social,Household,0.85,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'Children'}]","Question asks about volunteer activities for schools, youth, and religious organizations, which are social engagement activities."
2583,Social,Household,0.7,"[{'topic': 'Economic', 'subtopic': 'Recreation'}]","This question asks respondents to identify which of their activities were volunteer activities, relating to household/social time use and nonmarket/recreational activities.",Social,Household,0.8,[],"Question asks respondent to identify which previously mentioned activities were volunteer activities, continuing the volunteer activity inquiry."
2584,Social,Medical Care,0.92,"[{'topic': 'Social', 'subtopic': 'Household'}, {'topic': 'Demographic', 'subtopic': 'Age'}]","The question asks about providing care to an adult due to aging, which is a form of medical/health-related caregiving; it also pertains to household caregiving and involves age-related circumstances.",Social,Medical Care,0.85,"[{'topic': 'Social', 'subtopic': 'Household'}, {'topic': 'Demographic', 'subtopic': 'Age'}]","Question asks about care provided to adults with age-related conditions, which relates to medical care and household caregiving activities."
2585,Social,Medical Care,0.9,"[{'topic': 'Demographic', 'subtopic': 'Relationship'}, {'topic': 'Social', 'subtopic': 'Household'}]",Asking how many people received care and who they were pertains to caregiving/medical assistance and identifies recipients' relationships and household connections.,Social,Household,0.85,"[{'topic': 'Social', 'subtopic': 'Medical Care'}, {'topic': 'Demographic', 'subtopic': 'Relationship'}]","Question asks about the number of people receiving care and their relationship to the respondent, relating to household composition and caregiving."
