Question,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),Identity Theft Supplement (ITS),Supplemental Victimization Survey (SVS),National Survey of Children’s Health (NSCH),"National Survey of Children's Health Topical Questionaire (Children, 0-5 years)","National Survey of Children's Health Topical Questionaire (Chilren, 6-11)","National Survey of Children's Health Topical Questionaire (Children, 12-17)",National Sample Survey of Registered Nurses (NSSRN),National Teacher and Principal Survey (NTPS) School Questionnaire,National Teacher and Principal Survey (NTPS) Private School Questionnaire,National Teacher and Principal Survey (NTPS) Principal Questionnaire,National Teacher and Principal Survey (NTPS) Private School Principal Questionnaire,National Teacher and Principal Survey (NTPS) Teacher Questionnaire,National Teacher and Principal Survey (NTPS) Private School Teacher Questionnaire,Teacher Follow-up Survey (TFS) Former Teacher Survey,Teacher Follow-Up Survey (TFS) Current Teacher Survey,Principal Follow-up Survey (PFS),Principal Follow-Up Survey School Head/Principal Status Form,School Pulse Panel (SPP),Private School Survey (PSS),National Ambulatory Medical Care Survey (NAMCS),National Health Interview Survey (NHIS),"National Training, Education, and Workforce Survey (NTEWS)",National Survey of College Graduates (NSCG),American Time Use Survey (ATUS),Consumer Expenditure Survey (CE),American Community Survey (ACS),Survey of Income and Program Participation (SIPP),Household Trends and Outlook Pulse Survey (HTOPS),Current Population Survey (CPS),School Survey on Crime and Safety (SSOCS),Census Military Panel (CMP),American Housing Survey (AHS),Survey of Market Absorption (SOMA),Food Acquisition and Purchase Survey (FoodAPS) Initial Interview/Household Survey,Food Acquisition and Purchase Survey (FoodAPS) Profile and Income Questionnaire,Food Acquisition and Purchase Survey (FoodAPS) Debriefing Questionnaire,FoodAPS food Log,Survey of State Government Finances Finances of Insurance Trust Systems,Report of Building or Zoning Permits issued for new privately-ownd housing units,Survey of Residential Building or Zoning Permit Systems,Business and Professional Classifcation Report,Business Enterprise Research and Development Survey,Medical Expenditure Panel Survey Insurance Component
Select the names of the people below that are covered by Medicaid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Are you/Is anyone in your household currently pregnant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
List FEMALE HOUSEHOLD MEMBERS BETWEEN ages 14 AND <53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Where do you get food?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
What day(s) of the week do you do most of your food shopping?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"On average, how often do you do your main food shopping trip?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Where do you/does your household do most of your food shopping?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"What are your/your household’s main reasons for shopping at [store name]? Select all that apply(1 LOW PRICES (2)CLOSE TO HOME (3)CLOSE TO WORK (4)VARIETY OF GOODS (GENERAL) (5)GOOD QUALITY FOOD (6) PRODUCE SELECTION (7) MEAT DEPARTMENT (8) VARIETY OF SPECIALTY FOODS (SUCH AS GLUTEN FREE, ORGANIC, CULTURAL FOODS) (9) LOYALTY/FREQUENT SHOPPING PROGRAM (10) ONLINE ORDERING (11) I WORK/FAMILY MEMBER WORKS THERE (12) OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
How often do you/does your household shop at [store name] in a typical month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Is there anywhere else where you typically shop for groceries aside from {store named in C1} in a typical month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Besides (store name in C1), where else do you/does your household shop for groceries in a typical month?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
What’s the main reason you/your household shop at [store name]?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Do you use most of your benefits from [FILL IN STATE SNAP NAME] at [Fill store from C1 or at Fill store from C3]?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Where do you do most of your food shopping when using your benefits from [FILL IN STATE SNAP NAME]?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Do you use most of your WIC benefits at [fill from c1, c3, or c3bbb]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Where do you go to shop for most of your WIC items?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"In a typical month, do you ever grocery shop anywhere else even for just a few items?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"In a typical month, how many different places do you shop for groceries?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"During the past 30 days, did you spend money on groceries at any of the following locations?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Thinking about all the places you get/your household gets groceries, in a typical week, about how much do you/does your household spend on groceries? Your best guess is fine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
How often do you shop with a grocery list?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"The following questions are about [FILL IN PRIMARY STORE NAME FROM C1], the store where you buy most of your groceries. How do you usually get to [FILL IN PRIMARY STORE NAME FROM C1]?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
How long does it take to go one way from home to [FILL IN PRIMARY STORE NAME FROM C1]?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
How much do you usually pay out of pocket for a single one-way trip to [FILL IN PRIMARY STORE NAME FROM C1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Do you or someone in your household have access to a car when you need one?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"On average, for one order, how much do you pay for the delivery?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"When in season, do you have a fruit or vegetable garden?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Do you receive free fruits or vegetables from anyone else’s garden, orchard, or trees?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Do you get food by hunting or fishing?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"When in season, do you ever get food from a Farmer’s Market, farm stand, or Community Supported Agriculture (CSA)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"During the past 30 days, have you or anyone in your household gotten free groceries from a food pantry, food bank, place of worship, or other place that helps with free food?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"During the past 30 days, have you or anyone in your household received a free meal from a place of worship, shelter, home-delivered meal service like Meals on Wheels, or other place that helps with free meals?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"How many times do you get breakfast away from home during an average week? This includes restaurants, school and workplace cafeterias, fast-food, take-out, and delivery. Please provide your best estimate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"How many times do you get lunch away from home during an average week? This includes restaurants, school and workplace cafeterias, fast-food, take-out, and delivery. Please provide your best estimate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"How many times do you get dinner away from home during an average week? This includes restaurants, school and workplace cafeterias, fast-food, take-out, and delivery. Please provide your best estimate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"In general, would you say your health is … Excellent Very good Good Fair Poor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Do you smoke cigarettes, cigars, E-cigarettes, pipes, or chew tobacco?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Other than during pregnancy, have you ever been told by a doctor or other health professional that you have diabetes or sugar diabetes?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Have you ever been told by a doctor or other health professional that you have diabetes or sugar diabetes?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Have you ever been told by a doctor or other health professional that you had hypertension, also called high blood pressure?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Have you ever been told by a doctor or other health professional that your blood cholesterol level was high?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
In what units will you report your height?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
How tall are you? Please provide your best estimate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
In what units will you report your weight?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
How much do you weigh? Please provide your best estimate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Have you ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Were you on active duty ONLY FOR TRAINING in the Reserves or National Guard?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Do you/Does your household rent or own your home?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Is your rent/your household’s rent covered fully or in part by the Federal, State, or Local government?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Is your rent/your household’s rent covered fully by a local public housing authority or other public agency?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Do you/Does anyone in your household own or lease a vehicle, like a car or truck?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
How many vehicles do you/does your household own or lease?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
How frequently do you/does your household pay the [G1=2: mortgage/G1=1: rent]?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"How much do you/does your household usually pay for [G1=2: the mortgage/G1=1: rent] [insert fill from G6B]? If you don’t usually pay anything, enter 0 below.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Which of the following are included in this payment?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Do you/Does your household pay [G1=2: homeowners/G1=1: renters] insurance?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
How frequently do you/does your household pay for [G1=2: homeowners/G1=1: renters] insurance?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Do you/does your household pay real estate or property tax on your home?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
How frequently do you/does your household pay for real estate or property tax on your home?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
How much do you/does your household usually pay for real estate or property tax on your home [insert fill from G8B]?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Over the past month, have you/has your household had any unusually large and unexpected expenses?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Last week, did you do any work for either pay or profit?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Did you retire before last week?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Did you retire early because of a disability?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Do you own a business or a farm?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
What is the main reason you did not work last week?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Are you currently looking for a job, either full or part time?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Did you work for pay or profit for more than one employer last week?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"How many hours do you normally work for pay, including paid sick time and paid leave time?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
What shift or shifts do you work? Select all that apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
What shift or shifts do you work across all  jobs? Select all that apply.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Do you commute to work at least once a week?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
How long does it usually take you to get from home to work?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"For your primary job, how long does it usually take you to get from home to work?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"When at work, where do you usually get food (for example, for lunch or dinner)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Annual. What was your household’s total income before taxes last year in [FILL IN PREVIOUS YEAR]?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Please select the range that best reflects your household’s total income before taxes last year in [FILL IN PREVIOUS YEAR]?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Did you receive any wages, salary, commissions, bonuses, or tips last month?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
On what date did you receive your last paycheck?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
What is the easiest way for you to tell us about your earnings from work before taxes and other deductions?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"How much did you receive [Response from I1a] in wages, salary, commissions, bonuses, or tips from all jobs before taxes and other deductions?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"According to our calculations, you received [calculate TOTAL FROM I1b and I1a by month] altogether in earnings from work last month before taxes and other deductions. Is that correct?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
What is your best estimate of the correct total amount that you received in income from earnings from work before taxes and other deductions last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Did you receive any self-employment income last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
What is the easiest way for you to tell us about your earnings from self-employment income?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
How much did you receive [Response from I2a] in self-employment income before taxes and other deductions?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"According to our calculations, you received [calculate TOTAL FROM I2a and I2b by month] altogether in earnings from self-employment income last month before taxes and other deductions. Is that correct?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
What is your best estimate of the correct total amount that you received in self-employment income before taxes and other deductions last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Did you receive any Social Security or Railroad Retirement benefits last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
What was the amount?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Did you receive any Supplemental Security Income (SSI) payments last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
What was the amount?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Did you receive any Temporary Assistance for Needy Families (TANF) benefits last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Did you receive any other cash assistance from state or local welfare programs last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Did you receive any survivor or disability income last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Did you receive any payments from the Department of Veterans Affairs (VA) last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Did you receive a pension or any retirement income from a previous employer or union, or any regular withdrawals or distributions from retirement accounts such as 401(k), 403(b), IRA, Roth IRA, or other accounts designed specifically for retirement last month?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Did you receive any income from any other sources such as unemployment compensation, child support,alimony, or investments last month?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
What was the amount from all other sources?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"We do not want to miss any income sources. Please consider earnings from work, unemployment compensation, welfare, child support, alimony, retirement, disability, investment, and any other sources of income. Did you receive income last month?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"How much does your household have in cash, checking accounts, saving accounts, money markets, or other assets that are easily converted to cash?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Are the following people able and willing to answer additional questions about health, school, work and income for themselves, or will you answer for them?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Are the following people able and willing to complete daily surveys about what food they get each day over the next week, or will you answer for them?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Does NAME have their own email address?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
What is NAME’s email address?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"We can also send updates, notifications, and survey links via text message. Would [Name] like us to contact them by text message?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Please enter the cell phone number where NAME wishes to receive text messages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"How many times does NAME eat breakfast away from home during an average week? This includes restaurants, school and workplace cafeterias, fast-food, take-out, and delivery. Please provide your best estimate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"How many times does NAME eat lunch away from home during an average week? This includes restaurants, school and workplace cafeterias, fast-food, take-out, and delivery. Please provide your best estimate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"How many times does NAME eat dinner away from home during an average week? This includes restaurants, school and workplace cafeterias, fast-food, take-out, and delivery. Please provide your best estimate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"In general, would you say NAME’s health is …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Does NAME smoke cigarettes, cigars, E-cigarettes, or pipes, or chew tobacco?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Other than during pregnancy, has NAME ever been told by a doctor or other health professional that NAME has diabetes or sugar diabetes?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Has NAME ever been told by a doctor or other health professional that they have diabetes or sugar diabetes?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Has NAM} ever been told by a doctor or other health professional that NAME had hypertension, also called high blood pressure?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Has NAME ever been told by a doctor or other health professional that NAME’s blood cholesterol level was high?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
In what units will you report NAME’s height?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
How tall is NAME? Please provide your best estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
How tall is NAME when lying down and measured from head to toe? Please provide your best estimate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
In what units will you report { /NAME’s} weight?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
How much { /does NAME} weigh? Please provide your best estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Has NAME ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Was Name on active duty ONLY FOR TRAINING in the Reserves or National Guard?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Is Name currently on active duty?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Last week, did NAME do any work for either pay or profit?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Did NAME retire before last week?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Did NAME retire early because of a disability?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Did NAME own a business or a farm?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
What is the main reason NAME did not work last week?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Is NAME currently looking for a job, either full or part time?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Did NAME work for pay or profit for more than one employer last week?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"On average about how many hours does NAME normally work (and get paid) per week, including paid sick time and paid leave time?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
What shift or shifts does NAME work? Please check all that apply.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
What shift or shifts does NAME work across all  jobs?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Does NAME commute to work at least once a week?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
How long does it usually take NAME to get from home to work?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"For your primary job, how long does it usually take NAME to get from home to work?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"When at work, where does NAME usually get food (for example, for lunch or dinner)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Did NAME receive any wages, salary, commissions, bonuses, or tips last month?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
On what date did NAME receive their last paycheck?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
What is the easiest way for you to tell us about NAME’s earnings from work before taxes and other deductions?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"How much did NAME receive [Response from I1a] in wages, salary, commissions, bonuses, or tips from all jobs before taxes and other deductions?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"According to our calculations, NAME received [calculate TOTAL FROM I1b and I1a by month] altogether in earnings from work last month before taxes and other deductions. Is that correct?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
What is your best estimate of the correct total amount that NAME received in income from earnings from work before taxes and other deductions last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Did NAME receive any self-employment income last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
What is the easiest way for you to tell us about NAME’s earnings from self-employment income?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
How much did NAME receive [Response from I2a] in self-employment income before taxes and other deductions?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"According to our calculations, NAME}received [calculate TOTAL FROM I2a and I2b by month] altogether in earnings from self-employment income last month before taxes and other deductions. Is that correct?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
What is your best estimate of the correct total amount that NAME received in self-employment income before taxes and other deductions last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Did NAME receive any Social Security or Railroad Retirement benefits last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Did NAME receive any Supplemental Security Income (SSI) payments last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Did NAME receive any Temporary Assistance for Needy Families (TANF) benefits last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Did NAME receive any other cash assistance from state or local welfare programs last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Did NAME receive any survivor or disability income last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Did NAME receive any payments from the Department of Veterans Affairs (VA) last month?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Did NAME receive a pension or any retirement income from a previous employer or union, or any regular withdrawals or distributions from retirement accounts such as 401(k), 403(b), IRA, Roth IRA, or other accounts designed specifically for retirement last month? Do not include disability compensation from the VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"Did NAME receive any income from any other sources such as unemployment compensation, child support,alimony, or investments last month?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"We do not want to miss any income sources. Please consider earnings from work, unemployment compensation, welfare, child support, alimony, retirement, disability, investment, and any other sources of income. Did NAME receive income last month?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
"How many times do you get breakfast away from home during an average week? This includes restaurants, school and workplace cafeterias, fast-food, take-out, and delivery. Please provide your best estimate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
"How many times do you get lunch away from home during an average week? This includes restaurants, school and workplace cafeterias, fast-food, take-out, and delivery. Please provide your best estimate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
"How many times do you get dinner away from home during an average week? This includes restaurants, school and workplace cafeterias, fast-food, take-out, and delivery. Please provide your best estimate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
"In general, would you say your health is … Excellent Very good Good Fair Poor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
"Do you smoke cigarettes, cigars, E-cigarettes, pipes, or chew tobacco?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
"Other than during pregnancy, have you ever been told by a doctor or other health professional that you have diabetes or sugar diabetes?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Have you ever been told by a doctor or other health professional that you have diabetes or sugar diabetes?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
"Have you ever been told by a doctor or other health professional that you had hypertension, also called high blood pressure?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
